timestamp,Weight Mean,Difficulty Mean,Reward Mean,Transaction Sum,Witness Sum,Input Sum,Output Sum,Fee Total Sum,Total Blocks,close,volume,marketCap,open,Anomaly
2014-11-02,1262771.948,35985640265.0,8293.97955,77170.05480763364,0,222176,349958,4181.8565,155,325.8919983,16677200.0,4382113991.0,326.0750122,0
2014-11-03,1215033.42,35985640265.0,8176.472122,90350.79097688806,0,254762,250569,5403.2928,169,327.5539856,8603620.0,4385292372.0,325.5690002,0
2014-11-04,1215835.333,35985640265.0,8262.243278,87617.58360796669,0,244203,246801,4453.8569,162,330.4920044,12948500.0,4409040617.0,327.1610107,0
2014-11-05,1401873.971,38974444342.0,8245.146289,89460.2099092837,0,239234,245579,4401.6953,138,339.4859924,15655500.0,4449934321.0,330.6830139,0
2014-11-06,1399327.299,39603666252.0,8484.659597,94296.10902107913,0,269872,262777,4875.5932,154,349.2900085,19817200.0,4572205935.0,339.4580078,0
2014-11-07,1354472.933,39603666252.0,8612.208487,83955.86788237681,0,259332,235833,4606.234,150,342.4150085,18797000.0,4705591219.0,349.8179932,0
2014-11-08,1062328.549,39603666252.0,8672.884541,72717.5583733031,0,203138,200454,3730.8196,153,345.4880066,16834200.0,4614264695.0,342.1539917,0
2014-11-09,1264228.853,39603666252.0,8648.058867,72210.3542977473,0,215878,334111,5183.8012,150,363.2640076,8535470.0,4656988222.0,345.3760071,0
2014-11-10,1386586.449,39603666252.0,8815.332356,88996.06742970952,0,252463,256459,4716.1596,147,366.9240112,24205600.0,4897961165.0,362.2650146,0
2014-11-11,1543265.24,39603666252.0,9176.899575,85617.69921151293,0,249057,243906,4889.058,129,367.6950073,30450100.0,4948658123.0,365.8569946,0
2014-11-12,1486288.299,39603666252.0,9233.839954,95578.29262519993,0,270840,274259,5562.4853,147,423.5610046,15838900.0,4960242320.0,367.9849854,0
2014-11-13,1524489.959,39603666252.0,9910.689262,92958.18309597958,0,277185,264872,5682.5002,145,420.7349854,45783200.0,5715426244.0,427.2730103,0
2014-11-14,1297948.883,39603666252.0,10815.81834,86306.19703307313,0,243030,275084,5670.0093,154,397.8179932,58945000.0,5678828589.0,418.4169922,0
2014-11-15,1152227.314,39603666252.0,9963.034359,73242.50708407401,0,198740,210563,4449.8092,140,376.1329956,29589200.0,5371040273.0,399.6499939,0
2014-11-16,1266211.493,39603666252.0,9712.489714,76008.2407832966,0,216985,330823,4498.4944,150,387.8819885,15727500.0,5079582132.0,374.730011,0
2014-11-17,1470860.472,39603666252.0,9641.522876,88353.96713958093,0,266500,250180,5799.3344,144,387.4079895,11905600.0,5239694300.0,388.348999,0
2014-11-18,1296941.195,39671493922.0,9953.417454,87523.2908712818,0,245814,255765,5184.7523,154,375.197998,41518800.0,5234695637.0,387.7850037,0
2014-11-19,1354439.489,40300030328.0,9585.905717,85272.3059303305,0,234709,247920,5027.4251,141,380.5549927,32222500.0,5071157408.0,373.8959961,0
2014-11-20,1442817.478,40300030328.0,9537.817275,89390.20621817245,0,246358,251022,5046.3225,138,357.8399963,18931800.0,5144903809.0,380.3070068,0
2014-11-21,1469332.882,40300030328.0,9206.022215,82178.43985619501,0,230452,237094,4670.1056,127,350.8479919,25233200.0,4839043482.0,357.8789978,0
2014-11-22,1062541.013,40300030328.0,8834.932821,74724.60041722748,0,199391,220847,3878.0989,154,352.9200134,29850100.0,4745605133.0,351.6040039,0
2014-11-23,1334656.535,40300030328.0,8967.242562,77282.57644244787,0,213260,339006,4258.9818,142,367.572998,15273000.0,4774989954.0,353.1749878,0
2014-11-24,1387441.823,40300030328.0,9023.007854,85807.60734326695,0,253791,252224,4705.1031,147,376.901001,15151600.0,4974540006.0,366.947998,0
2014-11-25,1514294.97,40300030328.0,9422.668725,86132.84095025892,0,250694,241189,4576.3115,132,375.3479919,30930100.0,5102174795.0,376.8859863,0
2014-11-26,1368338.891,40300030328.0,9625.301927,85111.24298360739,0,231499,238579,4665.1278,137,368.3699951,25442200.0,5082390210.0,376.0190125,0
2014-11-27,1384904.511,40300030328.0,9358.480312,84681.15385708999,0,241549,254892,4473.9514,141,369.6700134,18601700.0,4989166443.0,370.5020142,0
2014-11-28,1312197.081,40300030328.0,9347.40384,85911.95349858185,0,239928,247014,4351.7683,148,376.446991,8748030.0,5008058116.0,369.3739929,0
2014-11-29,1094633.401,40300030328.0,9289.407498,79099.41826147518,0,212537,219953,4106.7292,157,375.4909973,22946500.0,5101280353.0,376.1520081,0
2014-11-30,1445730.075,40300030328.0,9507.31057,85014.87609069729,0,272302,377530,4849.7402,160,378.0469971,15375600.0,5089799280.0,375.5100098,0
2014-12-01,1661490.277,40300030328.0,9513.049906,97622.45456679586,0,265467,271022,5271.5077,130,379.2449951,9194440.0,5125958175.0,378.2489929,0
2014-12-02,1565475.04,40294179127.0,9562.313723,99420.10529297717,0,292550,293681,5409.6055,150,381.3150024,11763000.0,5143434464.0,379.25,0
2014-12-03,1896115.862,40007470271.0,9606.543449,99348.07270518187,0,272073,279434,5225.0628,116,375.0100098,12364100.0,5172928823.0,381.7219849,1
2014-12-04,1514759.89,40007470271.0,9539.078759,98347.37658622909,0,275426,275535,5632.5452,146,369.6040039,13340100.0,5088491940.0,375.7179871,0
2014-12-05,1296097.154,40007470271.0,9417.30493,90898.53105318574,0,242734,291700,4649.5714,156,376.8540039,14529600.0,5016487250.0,369.4419861,0
2014-12-06,1306728.672,40007470271.0,9383.049908,81229.40461924573,0,219760,229172,4185.3156,137,374.7850037,15181800.0,5116358331.0,376.7569885,0
2014-12-07,1403326.286,40007470271.0,9436.320195,74793.0922045036,0,198628,323643,4103.8682,126,375.0950012,7009320.0,5089542822.0,374.8359985,0
2014-12-08,1408660.687,40007470271.0,9473.298525,90746.67594718163,0,288533,277669,5957.3973,163,361.9089966,6491650.0,5094943517.0,374.9649963,0
2014-12-09,1436134.563,40007470271.0,9299.870549,90218.29102534434,0,253464,252887,4667.6476,142,352.2189941,18898700.0,4917302822.0,361.894989,0
2014-12-10,1393281.762,40007470271.0,8887.224458,88798.55535625754,0,246746,254563,4429.3476,143,346.3649902,32915500.0,4786893958.0,352.2049866,0
2014-12-11,1309402.108,40007470271.0,8805.634884,84005.39811799634,0,239557,248232,4200.9676,148,350.506012,16427700.0,4708572401.0,344.3399963,0
2014-12-12,1332869.418,40007470271.0,8851.448878,81294.86164673971,0,228396,258639,4081.8121,141,352.5419922,32431300.0,4766084199.0,350.8330078,0
2014-12-13,1137468.219,40007470271.0,8827.263934,76206.24738396802,0,205894,210487,3652.0511,146,347.3760071,16989800.0,4795055945.0,352.381012,0
2014-12-14,1470838.553,40007470271.0,8767.933579,79703.03692435782,0,237642,355530,4220.673,141,351.6319885,11675900.0,4726102586.0,346.7269897,0
2014-12-15,1642712.709,40007470271.0,8797.676026,94459.18659480555,0,289102,291277,4959.8168,141,345.3450012,12415200.0,4785245608.0,351.3609924,0
2014-12-16,1735594.434,40007470271.0,8771.190762,101064.42043109299,0,308424,311562,5246.7624,143,327.0620117,17264200.0,4700905209.0,345.6730042,0
2014-12-17,1847268.188,39560758613.0,8469.246877,98445.08034302384,0,295597,291990,5119.5561,128,319.776001,30864900.0,4453202603.0,326.855011,0
2014-12-18,1707830.388,39457671307.0,8136.507922,95208.72281045128,0,272369,288238,4451.563,129,311.3959961,37567900.0,4355021350.0,319.7850037,0
2014-12-19,1594009.781,39457671307.0,7875.269822,95404.4578221006,0,269295,288706,4660.7368,137,317.8429871,39173000.0,4241890806.0,311.1789856,0
2014-12-20,1536574.03,39457671307.0,7877.690566,86899.31109774449,0,246263,307640,3811.0301,134,329.9559937,23823100.0,4330801581.0,317.618988,0
2014-12-21,1410218.97,39457671307.0,8164.952275,78963.46011846924,0,223812,279480,3689.6656,132,320.8429871,20856700.0,4496945577.0,329.5429993,0
2014-12-22,1409991.268,39457671307.0,8164.286945,96508.4911885695,0,292934,291480,4557.0915,164,331.8859863,15207600.0,4373820008.0,321.0679932,0
