timestamp,Weight Mean,Difficulty Mean,Reward Mean,Transaction Sum,Witness Sum,Input Sum,Output Sum,Fee Total Sum,Total Blocks,close,volume,marketCap,open
11/11/2014,1543265.24,39603666252,9176.899575,85617.69921,0,249057,243906,4889.058,129,367.6950073,30450100,4948658123,365.8569946
11/12/2014,1486288.299,39603666252,9233.839954,95578.29263,0,270840,274259,5562.4853,147,423.5610046,15838900,4960242320,367.9849854
11/13/2014,1524489.959,39603666252,9910.689262,92958.1831,0,277185,264872,5682.5002,145,420.7349854,45783200,5715426244,427.2730103
11/14/2014,1297948.883,39603666252,10815.81834,86306.19703,0,243030,275084,5670.0093,154,397.8179932,58945000,5678828589,418.4169922
11/15/2014,1152227.314,39603666252,9963.034359,73242.50708,0,198740,210563,4449.8092,140,376.1329956,29589200,5371040273,399.6499939
11/16/2014,1266211.493,39603666252,9712.489714,76008.24078,0,216985,330823,4498.4944,150,387.8819885,15727500,5079582132,374.730011
11/17/2014,1470860.472,39603666252,9641.522876,88353.96714,0,266500,250180,5799.3344,144,387.4079895,11905600,5239694300,388.348999
11/18/2014,1296941.195,39671493922,9953.417454,87523.29087,0,245814,255765,5184.7523,154,375.197998,41518800,5234695637,387.7850037
11/19/2014,1354439.489,40300030328,9585.905717,85272.30593,0,234709,247920,5027.4251,141,380.5549927,32222500,5071157408,373.8959961
11/20/2014,1442817.478,40300030328,9537.817275,89390.20622,0,246358,251022,5046.3225,138,357.8399963,18931800,5144903809,380.3070068
11/21/2014,1469332.882,40300030328,9206.022215,82178.43986,0,230452,237094,4670.1056,127,350.8479919,25233200,4839043482,357.8789978
11/22/2014,1062541.013,40300030328,8834.932821,74724.60042,0,199391,220847,3878.0989,154,352.9200134,29850100,4745605133,351.6040039
11/23/2014,1334656.535,40300030328,8967.242562,77282.57644,0,213260,339006,4258.9818,142,367.572998,15273000,4774989954,353.1749878
11/24/2014,1387441.823,40300030328,9023.007854,85807.60734,0,253791,252224,4705.1031,147,376.901001,15151600,4974540006,366.947998
11/25/2014,1514294.97,40300030328,9422.668725,86132.84095,0,250694,241189,4576.3115,132,375.3479919,30930100,5102174795,376.8859863
11/26/2014,1368338.891,40300030328,9625.301927,85111.24298,0,231499,238579,4665.1278,137,368.3699951,25442200,5082390210,376.0190125
11/27/2014,1384904.511,40300030328,9358.480312,84681.15386,0,241549,254892,4473.9514,141,369.6700134,18601700,4989166443,370.5020142
11/28/2014,1312197.081,40300030328,9347.40384,85911.9535,0,239928,247014,4351.7683,148,376.446991,8748030,5008058116,369.3739929
11/29/2014,1094633.401,40300030328,9289.407498,79099.41826,0,212537,219953,4106.7292,157,375.4909973,22946500,5101280353,376.1520081
11/30/2014,1445730.075,40300030328,9507.31057,85014.87609,0,272302,377530,4849.7402,160,378.0469971,15375600,5089799280,375.5100098
12/1/2014,1661490.277,40300030328,9513.049906,97622.45457,0,265467,271022,5271.5077,130,379.2449951,9194440,5125958175,378.2489929
12/2/2014,1565475.04,40294179127,9562.313723,99420.10529,0,292550,293681,5409.6055,150,381.3150024,11763000,5143434464,379.25
12/3/2014,1896115.862,40007470271,9606.543449,99348.07271,0,272073,279434,5225.0628,116,375.0100098,12364100,5172928823,381.7219849
12/4/2014,1514759.89,40007470271,9539.078759,98347.37659,0,275426,275535,5632.5452,146,369.6040039,13340100,5088491940,375.7179871
12/5/2014,1296097.154,40007470271,9417.30493,90898.53105,0,242734,291700,4649.5714,156,376.8540039,14529600,5016487250,369.4419861
12/6/2014,1306728.672,40007470271,9383.049908,81229.40462,0,219760,229172,4185.3156,137,374.7850037,15181800,5116358331,376.7569885
12/7/2014,1403326.286,40007470271,9436.320195,74793.0922,0,198628,323643,4103.8682,126,375.0950012,7009320,5089542822,374.8359985
12/8/2014,1408660.687,40007470271,9473.298525,90746.67595,0,288533,277669,5957.3973,163,361.9089966,6491650,5094943517,374.9649963
12/9/2014,1436134.563,40007470271,9299.870549,90218.29103,0,253464,252887,4667.6476,142,352.2189941,18898700,4917302822,361.894989
12/10/2014,1393281.762,40007470271,8887.224458,88798.55536,0,246746,254563,4429.3476,143,346.3649902,32915500,4786893958,352.2049866
12/11/2014,1309402.108,40007470271,8805.634884,84005.39812,0,239557,248232,4200.9676,148,350.506012,16427700,4708572401,344.3399963
12/12/2014,1332869.418,40007470271,8851.448878,81294.86165,0,228396,258639,4081.8121,141,352.5419922,32431300,4766084199,350.8330078
12/13/2014,1137468.219,40007470271,8827.263934,76206.24738,0,205894,210487,3652.0511,146,347.3760071,16989800,4795055945,352.381012
12/14/2014,1470838.553,40007470271,8767.933579,79703.03692,0,237642,355530,4220.673,141,351.6319885,11675900,4726102586,346.7269897
12/15/2014,1642712.709,40007470271,8797.676026,94459.18659,0,289102,291277,4959.8168,141,345.3450012,12415200,4785245608,351.3609924
12/16/2014,1735594.434,40007470271,8771.190762,101064.4204,0,308424,311562,5246.7624,143,327.0620117,17264200,4700905209,345.6730042
12/17/2014,1847268.188,39560758613,8469.246877,98445.08034,0,295597,291990,5119.5561,128,319.776001,30864900,4453202603,326.855011
12/18/2014,1707830.388,39457671307,8136.507922,95208.72281,0,272369,288238,4451.563,129,311.3959961,37567900,4355021350,319.7850037
